id,period_x,duration,depth,period_y,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
6105491,31330.817983887653,28512.0,1.8364220622502776e-05,13.2996383,4.47e-05,56903.857649,-1.0,-1.0,71.6988,16.0768,11.919,6486.0,False
6106771,34185.880294303155,28512.0,0.1196735420748106,0.2638263,2e-07,54964.616674,0.015617,0.77,71.8775,15.6716,15.491,5559.0,False
6109688,77671.71713765299,28512.0,0.0011178992336554,14.0867881,4.72e-05,54959.199116,0.066255,0.18,72.3239,14.7676,12.271,6845.0,True
6117415,92637.61812632099,28512.0,0.0001580469249651,19.7416252,7.65e-05,54969.44649,-1.0,-1.0,73.1882,12.7227,10.543,6282.0,True
6118779,31478.78196205345,28512.0,0.1726659964037629,0.3642464,2e-07,54964.62105,0.022155,0.9,73.3283,12.4407,15.51,5428.0,False
6124941,30734.16832358268,28512.0,7.780527175536178e-05,5.670144,1.29e-05,54969.20124,0.008151,0.04,74.0207,11.117,13.783,-1.0,False
6128027,470986.7722559832,8640.0,0.0282199826290616,5.4557662,1.22e-05,54969.906496,0.018423,0.13,74.3271,10.4654,15.863,4878.0,False
6128141,80899.43850290228,4320.0,0.0009252261314991,1.8726245,2.6e-06,54965.726351,0.012189,0.3,74.3471,10.4466,14.337,5775.0,False
6128248,37803.98800914642,28512.0,0.1138403049871692,0.2917436,2e-07,54964.750595,0.017248,0.76,74.3653,10.4322,15.166,4867.0,False
6131659,715988.2041078296,21600.0,0.0040133513922055,17.5278303,6.5e-05,54960.041397,0.034049,0.09,74.7165,9.7685,12.534,4870.0,True
6137704,32449.618635602877,28512.0,6.248174341565884e-05,178.2679718,0.0015784,55266.618463,0.039349,0.0,75.2676,8.7336,14.16,4975.0,False
6137885,30573.134843471966,28512.0,3.281109659892608e-05,12.7900994,4.14e-05,55003.383308,-1.0,-1.0,75.3259,8.727,12.789,6088.0,False
6141791,31241.919201389468,28512.0,2.9426259931558488e-05,13.6590347,4.53e-05,54998.492254,-1.0,-1.0,75.6544,8.1602,12.995,5859.0,False
6143826,58511.3250694169,28512.0,0.0094079381003116,1.35476,1.6e-06,54953.804632,0.077761,0.92,75.7895,7.8742,12.711,6928.0,False
6144827,30405.933681004444,28512.0,0.0122110311737847,0.2346497,1e-07,54964.644135,0.013294,0.82,75.8604,7.7098,14.997,5217.0,False
6146838,30813.244486326083,28512.0,4.708528355420385e-05,27.4672014,0.0001226,54976.671867,0.026692,0.03,76.0885,7.4042,13.182,5338.0,False
6147122,30366.429431999237,28512.0,1.729516295922805e-05,15.4514983,5.37e-05,54959.763678,0.025041,0.06,76.0775,7.3415,11.798,7625.0,False
6147573,1114354.2716523153,4320.0,0.0018143008944037,25.8368331,0.0001135,54970.363385,0.038433,0.07,76.1487,7.2979,13.347,5503.0,False
6153672,290642.2989762339,4320.0,0.0033794818356748,3.3644248,6.1e-06,55153.072286,0.00957,0.11,76.5764,6.4367,15.337,5600.0,False
6182849,276500.22696033685,17280.0,0.0120963164995605,6.399107,1.6e-05,54999.698484,0.031765,0.21,71.2491,17.4513,13.718,5893.0,False
6185717,30434.59706195033,28512.0,5.621703177449016e-05,11.7022037,3.8e-05,54972.430554,0.018161,0.06,71.6673,16.4931,13.393,5901.0,False
6187893,34094.127733157264,8640.0,0.0312571537453188,0.7891676,8e-07,54954.087252,0.021655,0.6,71.9677,15.7555,11.702,5103.0,False
6191574,89338.228338836,28512.0,0.0951193814360276,1.0345298,1.1e-06,54964.878585,0.010092,0.5,72.4539,14.607,14.353,4208.0,False
6197038,841449.9845499737,28512.0,0.3406282904831676,9.7517082,2.8e-05,54961.77658,0.098446,0.46,73.1168,13.1533,13.531,4937.0,False
6197319,71808.05274903344,28512.0,0.0092488504438634,1.6638044,2.2e-06,54965.64962,0.093756,0.93,73.2066,13.106,13.645,-1.0,False
6205460,321502.91542603815,28512.0,0.4243163104112492,3.722832,7e-06,54956.455222,0.098339,0.58,74.0318,11.3579,12.746,5242.0,True
6206751,107586.33196913855,8640.0,0.1782350456621812,1.2453335,1.4e-06,54954.013099,0.026099,0.56,74.1343,11.0517,12.142,6965.0,True
6209824,54503.53393635203,28512.0,0.0037488397513588,1.2629743,1.5e-06,54954.933021,0.072003,0.91,74.4902,10.4393,12.127,-1.0,False
6220470,703805.1575643204,21600.0,0.005403433339367,8.144136,2.17e-05,54969.504565,0.064689,0.33,75.4636,8.566,13.96,7377.0,False
6223646,31495.59560876638,21600.0,0.1023973105300787,0.3649341,2e-07,54953.711109,0.022995,0.84,75.732,8.093,13.552,7907.0,False
6228703,725032.2884755541,21600.0,0.0008596484913581,8.4004137,2.24e-05,54955.056337,0.035133,0.21,76.1659,7.3213,12.843,-1.0,True
6231401,526021.4889180791,12960.0,0.002735042822786,6.0919556,1.44e-05,54970.586944,0.023393,0.15,76.4272,6.9884,14.847,5843.0,False
6262882,86120.48836586229,28512.0,0.0144230899573252,0.9965008,1.1e-06,54965.111503,0.063509,0.79,71.1953,17.7748,13.979,8317.0,False
6264091,56180.011341960235,8640.0,0.0636626620552445,0.3250179,2e-07,54964.640434,0.019803,0.97,71.408,17.3704,15.202,5680.0,False
6265720,40492.59602722174,4320.0,0.0779950631268202,0.3124277,2e-07,54964.727675,0.018912,0.93,71.6386,16.8421,14.823,5585.0,False
6268648,30567.64956553658,28512.0,1.4087207483961096e-05,503.25,0.0073539,55213.517405,1.669587,0.08,72.0342,15.8169,11.049,-1.0,True
6268722,113870.48170204938,28512.0,0.0016568144735103,2.638433,4.4e-06,54955.449481,0.015983,0.25,72.0733,15.7986,12.601,6234.0,False
6279974,69563.13791255941,4320.0,0.000897014733099,0.8052593,8e-07,54965.09688,0.010065,0.43,73.4538,12.6247,13.742,6022.0,False
6281103,31417.47966597069,28512.0,0.042392605685619,0.3632807,2e-07,54964.870623,0.018905,0.98,73.6333,12.426,14.899,5715.0,False
6286155,30905.893932771523,28512.0,8.912356103357228e-05,14.5418297,4.99e-05,54999.666345,0.034907,0.13,74.1509,11.2582,13.763,5062.0,False
6286402,44494.16305598875,4320.0,0.0314425869477482,0.3433205,2e-07,54964.71163,0.019423,0.95,74.1673,11.1955,15.489,6068.0,False
6287172,35219.80693970277,28512.0,0.0006258165197098,0.2038732,1e-07,54953.651911,0.010821,0.95,74.2716,11.0419,12.714,6646.0,False
6290382,46760.75291276928,28512.0,0.0030836085699495,6.128161,1.44e-05,54970.027986,0.019403,0.13,74.6617,10.3814,13.186,7016.0,False
6290740,31603.49081878895,28512.0,3.427058381681896e-05,15.1518271,5.21e-05,54994.495729,-1.0,-1.0,74.6893,10.3062,12.254,6342.0,False
6292398,28601.958382434863,28512.0,1.0344832533320836e-05,9.2398747,-1.0,54999.726043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
6292925,28570.84975057561,28512.0,1.940468261159899e-05,13.6123475,4.47e-05,54999.63755,-1.0,-1.0,74.8675,9.8786,9.717,8159.0,True
6293266,36535.43862164746,28512.0,0.0098973914629542,0.8466899,8e-07,54954.081908,0.046725,0.89,74.9586,9.8489,12.145,8305.0,False
6302051,57544.71475108739,12960.0,0.1020742486792023,0.6658734,6e-07,54953.667645,0.037587,0.75,75.7386,8.3928,13.333,8041.0,False
6302592,68262.24549538328,28512.0,0.0195525260131547,1.5780237,2e-06,54965.209605,0.088541,0.93,75.7339,8.2853,13.848,7737.0,False
6305192,693697.6733943591,17280.0,0.0027513526225654,8.0251572,2.14e-05,54997.563107,0.045771,0.22,75.9823,7.9487,14.153,5347.0,False
6307062,809745.2008325884,4320.0,0.0018546666366448,75.3790073,0.0005066,55075.484625,0.044625,0.01,76.1172,7.668,14.863,5141.0,True
6307083,30936.119766887256,28512.0,3.484946908514048e-05,376.9401671,0.0050535,54849.284201,0.027541,0.03,76.1198,7.6642,12.218,4992.0,False
