id,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
2571439,0.3209791,2e-07,54964.701572,0.018242,0.93,70.1227,10.7643,14.696,5046.0,False
9181877,0.3210098,2e-07,54953.793919,0.016609,0.75,80.5581,7.8076,11.698,4599.0,False
5983351,0.3211848,4e-07,55001.958846,0.017628,0.74,75.8175,7.4063,17.834,-1.0,False
9713664,0.321236,2e-07,54964.675186,0.020448,0.89,78.9147,12.6935,14.803,5585.0,False
7118656,0.3213551,2e-07,54964.747849,0.019556,0.93,75.0526,11.7784,15.033,5271.0,False
8330092,0.3217236,2e-07,54964.942348,0.019562,0.8,79.6051,6.9371,13.484,6902.0,True
2854432,0.3223256,2e-07,54964.880329,0.019925,0.93,70.8313,9.8809,14.922,5103.0,False
9991887,0.3223957,2e-07,54964.743878,0.070706,0.88,76.2362,20.4345,15.216,5198.0,False
6061139,0.3224413,2e-07,54964.913384,0.017958,0.76,75.5503,7.9831,15.232,5063.0,False
4474193,0.3225048,2e-07,54964.738944,0.021368,0.89,73.0192,8.9174,15.297,5319.0,False
5984000,0.3230583,2e-07,54964.653132,0.019863,0.82,75.8702,7.3069,14.431,5414.0,False
7627059,0.3236502,3e-07,55002.006219,0.019275,0.81,77.3117,8.7727,14.874,5754.0,False
7199183,0.324092,3e-07,55002.030763,0.026478,0.97,74.9747,12.2636,15.772,5462.0,False
5195137,0.324117,2e-07,54964.554051,0.017518,0.92,73.6355,9.3564,14.027,5381.0,False
7280704,0.3243504,2e-07,54953.70694,0.017682,0.93,74.9802,12.3099,13.057,5869.0,False
8956957,0.3243816,2e-07,54964.745506,0.018852,0.97,77.8846,12.133,13.978,6307.0,False
6264091,0.3250179,2e-07,54964.640434,0.019803,0.97,71.408,17.3704,15.202,5680.0,False
3439180,0.3250651,3e-07,55002.039112,0.016434,0.76,70.6438,11.2759,14.366,5597.0,False
7685689,0.3251596,3e-07,55001.994674,0.018383,0.78,75.9854,11.5708,15.54,5677.0,False
5791886,0.3251705,3e-07,54999.992375,0.018684,0.77,73.6178,11.0278,15.348,5647.0,False
8555573,0.3263619,2e-07,54964.830102,0.017713,0.96,76.2881,13.8812,14.534,5564.0,False
2694741,0.3266474,2e-07,54953.773721,0.019405,0.93,68.787,13.6886,12.297,5302.0,False
8481574,0.3268648,2e-07,54964.728369,0.015157,0.95,74.8989,16.8613,13.939,5722.0,True
6507541,0.3272123,2e-07,54964.69946,0.080539,0.91,72.7059,15.2118,15.278,5797.0,False
