title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2414832.756721	1899.485635	12.38	 0.12	13.75	301.56464	 44.45706	 63.2	0.199	i23082	151	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414832.793428	1899.485735	12.44	 0.16	13.62	301.56478	 44.45770	 89.3	0.126	i23083	151	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414832.819052	1899.485806	12.18	 0.12	13.83	301.56499	 44.45714	 36.0	0.284	i23084	151	128	1349451779	657	0.000700	7	0,1,16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414833.755409	1899.488371	12.31	 0.32	12.69	301.56424	 44.45632	 23.0	0.182	ac00354	151	8320	1349386240	385	0.000700	7,13	17,18,19,21,22,28,30	0,7,8
APASS_J200615.5+442725	2414837.599173	1899.498902	12.36	 0.14	13.64	301.56507	 44.45745	  7.5	0.372	i23108	152	16777344	1345193984	529	0.000700	7,24	11,17,18,19,21,28,30	0,4,9
APASS_J200615.5+442725	2414846.768766	1899.524024	12.32	 0.10	14.76	301.56476	 44.45708	 76.2	0.096	i23144	152	128	1349453824	529	0.000700	7	11,16,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2414847.719658	1899.526629	12.18	 0.11	14.02	301.56516	 44.45704	-54.0	0.477	i23150	152	128	1349453824	529	0.000700	7	11,16,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2414910.548059	1899.698762	12.64	 0.21	13.32	301.56627	 44.45827	 38.2	0.100	i23461	151	41943168	1349388291	513	0.000700	7,23,25	0,1,11,17,18,19,21,22,28,30	0,9
APASS_J200615.5+442725	2415089.917837	1900.190186	12.37	 0.37	12.64	301.56452	 44.45582	 78.3	0.570	i24755	151	268476544	1080688642	656	0.000700	7,13,15,28	1,17,19,21,22,30	4,7,9
APASS_J200615.5+442725	2415113.864784	1900.255794	12.25	 0.08	14.94	301.56484	 44.45733	-23.6	0.236	i25022	152	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
