title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
N0302221335	2414142.713834	1897.595106	12.51	 3.16	12.91	301.56307	 44.45530	 39.1	0.486	i18428	97	268482688	23724035	0	0.000700	7,11,12,13,15,28	0,1,17,19,21,22,24	UNINIT
N0302221335	2414150.777541	1897.617199	12.30	99.00	13.59	301.56501	 44.45707	-59.9	0.233	i18540	97	4096	1349476352	0	0.000700	12	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414154.735448	1897.628042	12.22	 0.24	13.91	301.56477	 44.45709	 55.7	0.418	i18557	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414176.612097	1897.687978	12.71	 1.78	12.79	301.56377	 44.45678	 42.0	0.278	i18711	131	268482688	1080713219	0	0.000700	7,11,12,13,15,28	0,1,13,14,17,19,21,22,30	UNINIT
N0302221335	2414187.705073	1897.718370	12.38	 0.27	14.33	301.56488	 44.45694	-59.0	0.134	i18942	97	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414233.548950	1897.843970	13.00	 2.59	13.77	301.56208	 44.45477	 27.7	0.495	i19445	97	268474496	23726083	0	0.000700	7,11,12,15,28	0,1,11,17,19,21,22,24	UNINIT
N0302221335	2414265.472233	1897.931431	12.65	 2.61	12.66	301.56478	 44.45820	 36.3	0.245	i19694	97	335591552	1080713219	0	0.000700	7,11,12,13,15,26,28	0,1,13,14,17,19,21,22,30	UNINIT
N0302221335	2414291.468485	1898.002653	12.39	 0.33	13.73	301.56511	 44.45740	 78.3	0.435	i19873	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2414303.444060	1898.035463	12.25	 0.24	12.28	301.56481	 44.45730	 77.6	0.450	i20032	103	8320	1349410816	0	0.000700	7,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2414401.845872	1898.305057	11.59	 1.80	12.77	301.56600	 44.45669	 58.6	0.288	i20740	97	302028992	1080715267	0	0.000700	6,7,11,12,15,25,28	0,1,11,13,14,17,19,21,22,30	UNINIT
